GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ferris-scriptural-tray,org.ferris.scriptural.window.net,URLConnectionTool,31,0,2,0,10,0,3,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.version,Version,81,32,10,2,26,12,9,3,3,3
ferris-scriptural-tray,org.ferris.scriptural.window.tray,TrayMessageEvent,58,0,0,0,10,0,4,0,4,0
ferris-scriptural-tray,org.ferris.scriptural.window.tray,TrayView,95,0,2,0,24,0,5,0,4,0
ferris-scriptural-tray,org.ferris.scriptural.window.tray,TrayIconProducer,80,0,4,0,16,0,5,0,3,0
ferris-scriptural-tray,org.ferris.scriptural.window.tray,TrayController,79,0,2,0,21,0,7,0,6,0
ferris-scriptural-tray,org.ferris.scriptural.window.initialization,InitializationEvent,3,0,0,0,1,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.enabledisable,EnableEvent,3,0,0,0,1,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.enabledisable,EnableDisableMenuItemProducer,13,0,0,0,3,0,2,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.enabledisable,DisableEvent,3,0,0,0,1,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.enabledisable,EnableDisableMenuItem,48,0,2,0,15,0,3,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.conf,ConfPropertyProducer,61,0,2,0,14,0,4,0,3,0
ferris-scriptural-tray,org.ferris.scriptural.window.conf,ConfDirectory,5,0,0,0,2,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.conf,ConfDirectoryProducer,15,0,2,0,4,0,3,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.exception,UncaughtExceptionView,29,0,0,0,8,0,2,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.exception,UncaughtExceptionController,27,0,0,0,8,0,3,0,3,0
ferris-scriptural-tray,org.ferris.scriptural.window.exception,UncaughtExceptionTool,6,0,0,0,3,0,2,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.logging,RollingFileAppender,47,0,0,0,10,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.logging,TimeBasedRollingPolicy,51,0,0,0,10,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.logging,LoggerProducer,10,0,0,0,3,0,2,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.alert,AlertFrequency,36,0,0,0,9,0,4,0,4,0
ferris-scriptural-tray,org.ferris.scriptural.window.alert,AlertProducer,36,0,2,0,8,0,3,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.alert,AlertEvent,3,0,0,0,1,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.alert,AlertFrequencyProducer,183,0,10,0,32,0,11,0,6,0
ferris-scriptural-tray,org.ferris.scriptural.window.alert,AlertExecutor,56,0,0,0,14,0,5,0,5,0
ferris-scriptural-tray,org.ferris.scriptural.window.exit,ExitMenuItem,4,0,0,0,2,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.exit,ExitEvent,3,0,0,0,1,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.exit,ExitObserver,7,0,0,0,3,0,2,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.exit,ExitMenuItemProducer,21,0,0,0,4,0,3,0,3,0
ferris-scriptural-tray,org.ferris.scriptural.window.exit,ExitTool,9,0,0,0,5,0,3,0,3,0
ferris-scriptural-tray,org.ferris.scriptural.window.verse,VerseServices,102,0,4,0,22,0,7,0,5,0
ferris-scriptural-tray,org.ferris.scriptural.window.verse,VerseRepository,121,0,20,0,36,0,12,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.verse,Verse,76,0,0,0,13,0,5,0,5,0
ferris-scriptural-tray,org.ferris.scriptural.window.main,Main,14,0,0,0,4,0,2,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.main,MainApplication,22,0,0,0,9,0,3,0,3,0
ferris-scriptural-tray,org.ferris.scriptural.window.retry,ExceptionRetryInterceptor,66,0,2,0,14,0,3,0,2,0
ferris-scriptural-tray,org.ferris.scriptural.window.retry,ExceptionBreak,4,0,0,0,2,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.application,ApplicationDirectory,4,0,0,0,2,0,1,0,1,0
ferris-scriptural-tray,org.ferris.scriptural.window.application,ApplicationDirectoryProducer,33,0,2,0,8,0,3,0,2,0
